id_log_transaccion,id_tipo_transaccion,id_tarjeta,id_cuenta_c,id_cuenta_d,id_estado_transaccion,fecha_operacion,fecha,hora,monto_operacion
6515,2,,7,2,1,2021-05-18 21:00:00,2021-05-18,21:00:00,2
6516,1,3,1,,1,2021-05-18 21:00:00,2021-05-18,21:00:00,11
6517,3,6,,6,2,2021-05-18 21:00:00,2021-05-18,21:00:00,104
6518,3,8,,8,1,2021-05-18 21:00:00,2021-05-18,21:00:00,1
6519,1,7,1,,1,2021-05-18 21:00:00,2021-05-18,21:00:00,5
6520,3,11,,11,2,2021-05-18 21:00:00,2021-05-18,21:00:00,68
6521,1,4,1,,2,2021-05-18 21:00:00,2021-05-18,21:00:00,16
6522,1,5,1,,1,2021-05-18 22:00:00,2021-05-18,22:00:00,3
6523,3,7,,7,2,2021-05-18 22:00:00,2021-05-18,22:00:00,77
6524,3,4,,4,2,2021-05-18 22:00:00,2021-05-18,22:00:00,99
6525,2,,9,1,1,2021-05-18 22:00:00,2021-05-18,22:00:00,4
6526,1,10,1,,1,2021-05-18 22:00:00,2021-05-18,22:00:00,2
6527,2,,9,6,1,2021-05-18 22:00:00,2021-05-18,22:00:00,1
6528,3,5,,5,2,2021-05-18 22:00:00,2021-05-18,22:00:00,188
6529,2,,5,4,2,2021-05-18 22:00:00,2021-05-18,22:00:00,18
6530,2,,10,11,2,2021-05-18 22:00:00,2021-05-18,22:00:00,17
6531,2,,4,5,2,2021-05-18 22:00:00,2021-05-18,22:00:00,13
6532,3,2,,2,2,2021-05-18 22:00:00,2021-05-18,22:00:00,129
6533,1,1,1,,1,2021-05-18 22:00:00,2021-05-18,22:00:00,10
6534,3,4,,4,2,2021-05-18 22:00:00,2021-05-18,22:00:00,66
6535,3,7,,7,1,2021-05-18 22:00:00,2021-05-18,22:00:00,6
6536,1,9,1,,2,2021-05-18 22:00:00,2021-05-18,22:00:00,18
6537,1,5,1,,1,2021-05-18 22:00:00,2021-05-18,22:00:00,17
6538,2,,4,10,1,2021-05-18 22:00:00,2021-05-18,22:00:00,1
6539,3,5,,5,2,2021-05-18 22:00:00,2021-05-18,22:00:00,30
6540,3,9,,9,2,2021-05-18 22:00:00,2021-05-18,22:00:00,112
6541,1,3,1,,1,2021-05-18 22:00:00,2021-05-18,22:00:00,8
6542,3,7,,7,2,2021-05-18 23:00:00,2021-05-18,23:00:00,175
6543,2,,6,3,1,2021-05-18 23:00:00,2021-05-18,23:00:00,9
6544,3,3,,3,1,2021-05-18 23:00:00,2021-05-18,23:00:00,33
6545,3,9,,9,1,2021-05-18 23:00:00,2021-05-18,23:00:00,5
6546,3,2,,2,2,2021-05-18 23:00:00,2021-05-18,23:00:00,95
6547,2,,10,4,2,2021-05-18 23:00:00,2021-05-18,23:00:00,12
6548,2,,9,7,1,2021-05-18 23:00:00,2021-05-18,23:00:00,4
6549,1,2,1,,2,2021-05-18 23:00:00,2021-05-18,23:00:00,11
6550,3,10,,10,2,2021-05-18 23:00:00,2021-05-18,23:00:00,29
6551,2,,9,3,1,2021-05-18 23:00:00,2021-05-18,23:00:00,12
6552,3,3,,3,2,2021-05-18 23:00:00,2021-05-18,23:00:00,80
6553,2,,5,9,1,2021-05-18 23:00:00,2021-05-18,23:00:00,16
6554,3,10,,10,2,2021-05-18 23:00:00,2021-05-18,23:00:00,50
6555,1,1,1,,1,2021-05-18 23:00:00,2021-05-18,23:00:00,5
6556,3,8,,8,1,2021-05-18 23:00:00,2021-05-18,23:00:00,0
6557,1,2,1,,2,2021-05-18 23:00:00,2021-05-18,23:00:00,20
6558,1,1,1,,1,2021-05-18 23:00:00,2021-05-18,23:00:00,14
6559,2,,9,4,2,2021-05-19 00:00:00,2021-05-19,00:00:00,10
6560,1,4,1,,2,2021-05-19 00:00:00,2021-05-19,00:00:00,20
6561,3,7,,7,2,2021-05-19 00:00:00,2021-05-19,00:00:00,121
6562,3,2,,2,2,2021-05-19 00:00:00,2021-05-19,00:00:00,48
6563,2,,5,4,2,2021-05-19 00:00:00,2021-05-19,00:00:00,14
6564,1,5,1,,1,2021-05-19 00:00:00,2021-05-19,00:00:00,16
6565,1,2,1,,2,2021-05-19 00:00:00,2021-05-19,00:00:00,6
6566,1,3,1,,1,2021-05-19 00:00:00,2021-05-19,00:00:00,4
6567,3,7,,7,2,2021-05-19 00:00:00,2021-05-19,00:00:00,126
6568,3,3,,3,1,2021-05-19 00:00:00,2021-05-19,00:00:00,28
6569,2,,1,6,1,2021-05-19 00:00:00,2021-05-19,00:00:00,12
6570,2,,10,2,2,2021-05-19 00:00:00,2021-05-19,00:00:00,20
6571,1,3,1,,1,2021-05-19 00:00:00,2021-05-19,00:00:00,4
6572,2,,11,6,1,2021-05-19 00:00:00,2021-05-19,00:00:00,13
6573,3,1,,1,1,2021-05-19 00:00:00,2021-05-19,00:00:00,18
6574,1,9,1,,2,2021-05-19 00:00:00,2021-05-19,00:00:00,20
6575,3,9,,9,2,2021-05-19 00:00:00,2021-05-19,00:00:00,65
6576,3,5,,5,2,2021-05-19 00:00:00,2021-05-19,00:00:00,81
6577,1,11,1,,2,2021-05-19 00:00:00,2021-05-19,00:00:00,20
6578,3,4,,4,2,2021-05-19 00:00:00,2021-05-19,00:00:00,27
6579,2,,10,3,1,2021-05-19 01:00:00,2021-05-19,01:00:00,19
6580,2,,9,1,1,2021-05-19 01:00:00,2021-05-19,01:00:00,1
6581,2,,10,8,1,2021-05-19 01:00:00,2021-05-19,01:00:00,12
6582,3,9,,9,2,2021-05-19 01:00:00,2021-05-19,01:00:00,78
6583,2,,2,4,2,2021-05-19 01:00:00,2021-05-19,01:00:00,14
6584,1,7,1,,1,2021-05-19 01:00:00,2021-05-19,01:00:00,14
6585,1,2,1,,2,2021-05-19 01:00:00,2021-05-19,01:00:00,20
6586,3,5,,5,2,2021-05-19 01:00:00,2021-05-19,01:00:00,179
6587,1,11,1,,2,2021-05-19 01:00:00,2021-05-19,01:00:00,18
6588,2,,3,9,1,2021-05-19 01:00:00,2021-05-19,01:00:00,12
6589,2,,5,3,1,2021-05-19 01:00:00,2021-05-19,01:00:00,7
6590,1,2,1,,2,2021-05-19 01:00:00,2021-05-19,01:00:00,17
6591,1,7,1,,1,2021-05-19 02:00:00,2021-05-19,02:00:00,15
6592,1,4,1,,2,2021-05-19 02:00:00,2021-05-19,02:00:00,8
6593,1,9,1,,2,2021-05-19 02:00:00,2021-05-19,02:00:00,12
6594,3,8,,8,1,2021-05-19 02:00:00,2021-05-19,02:00:00,0
6595,2,,8,2,2,2021-05-19 02:00:00,2021-05-19,02:00:00,20
6596,2,,4,6,1,2021-05-19 02:00:00,2021-05-19,02:00:00,4
6597,1,10,1,,1,2021-05-19 02:00:00,2021-05-19,02:00:00,11
6598,2,,7,5,1,2021-05-19 02:00:00,2021-05-19,02:00:00,9
6599,1,5,1,,1,2021-05-19 02:00:00,2021-05-19,02:00:00,1
6600,2,,11,8,2,2021-05-19 02:00:00,2021-05-19,02:00:00,18
6601,3,7,,7,2,2021-05-19 02:00:00,2021-05-19,02:00:00,53
6602,2,,6,8,1,2021-05-19 02:00:00,2021-05-19,02:00:00,1
6603,2,,4,11,1,2021-05-19 02:00:00,2021-05-19,02:00:00,15
6604,1,6,1,,2,2021-05-19 03:00:00,2021-05-19,03:00:00,19
6605,1,5,1,,1,2021-05-19 03:00:00,2021-05-19,03:00:00,5
6606,2,,7,11,2,2021-05-19 03:00:00,2021-05-19,03:00:00,10
6607,3,5,,5,2,2021-05-19 03:00:00,2021-05-19,03:00:00,210
6608,2,,10,1,1,2021-05-19 03:00:00,2021-05-19,03:00:00,11
6609,3,3,,3,1,2021-05-19 03:00:00,2021-05-19,03:00:00,12
6610,1,6,1,,2,2021-05-19 03:00:00,2021-05-19,03:00:00,20
6611,2,,3,7,1,2021-05-19 03:00:00,2021-05-19,03:00:00,11
6612,3,7,,7,1,2021-05-19 03:00:00,2021-05-19,03:00:00,9
6613,2,,6,11,2,2021-05-19 03:00:00,2021-05-19,03:00:00,5
6614,2,,2,8,2,2021-05-19 03:00:00,2021-05-19,03:00:00,17
6615,3,10,,10,2,2021-05-19 04:00:00,2021-05-19,04:00:00,142
6616,3,5,,5,2,2021-05-19 04:00:00,2021-05-19,04:00:00,24
6617,3,5,,5,2,2021-05-19 04:00:00,2021-05-19,04:00:00,137
6618,2,,2,3,1,2021-05-19 04:00:00,2021-05-19,04:00:00,11
6619,2,,11,5,1,2021-05-19 04:00:00,2021-05-19,04:00:00,9
6620,3,1,,1,1,2021-05-19 04:00:00,2021-05-19,04:00:00,14
6621,1,4,1,,2,2021-05-19 04:00:00,2021-05-19,04:00:00,5
6622,3,1,,1,1,2021-05-19 04:00:00,2021-05-19,04:00:00,1
6623,3,3,,3,2,2021-05-19 04:00:00,2021-05-19,04:00:00,15
6624,1,10,1,,2,2021-05-19 04:00:00,2021-05-19,04:00:00,11
6625,1,10,1,,1,2021-05-19 04:00:00,2021-05-19,04:00:00,5
6626,3,9,,9,1,2021-05-19 04:00:00,2021-05-19,04:00:00,1
6627,3,8,,8,1,2021-05-19 05:00:00,2021-05-19,05:00:00,0
6628,1,3,1,,1,2021-05-19 05:00:00,2021-05-19,05:00:00,19
6629,1,7,1,,1,2021-05-19 05:00:00,2021-05-19,05:00:00,5
6630,2,,7,8,1,2021-05-19 05:00:00,2021-05-19,05:00:00,9
6631,1,7,1,,1,2021-05-19 05:00:00,2021-05-19,05:00:00,19
6632,1,10,1,,2,2021-05-19 05:00:00,2021-05-19,05:00:00,9
6633,1,1,1,,1,2021-05-19 05:00:00,2021-05-19,05:00:00,9
6634,1,1,1,,1,2021-05-19 05:00:00,2021-05-19,05:00:00,13
6635,2,,5,10,1,2021-05-19 05:00:00,2021-05-19,05:00:00,8
6636,3,6,,6,1,2021-05-19 05:00:00,2021-05-19,05:00:00,1
6637,1,4,1,,2,2021-05-19 05:00:00,2021-05-19,05:00:00,8
6638,2,,1,4,1,2021-05-19 05:00:00,2021-05-19,05:00:00,20
6639,3,10,,10,2,2021-05-19 06:00:00,2021-05-19,06:00:00,153
6640,3,9,,9,2,2021-05-19 06:00:00,2021-05-19,06:00:00,59
6641,2,,3,1,1,2021-05-19 06:00:00,2021-05-19,06:00:00,5
6642,3,10,,10,2,2021-05-19 06:00:00,2021-05-19,06:00:00,158
6643,1,10,1,,2,2021-05-19 06:00:00,2021-05-19,06:00:00,6
6644,1,10,1,,2,2021-05-19 06:00:00,2021-05-19,06:00:00,20
6645,3,10,,10,2,2021-05-19 06:00:00,2021-05-19,06:00:00,153
6646,2,,5,1,1,2021-05-19 06:00:00,2021-05-19,06:00:00,8
6647,1,8,1,,1,2021-05-19 06:00:00,2021-05-19,06:00:00,3
6648,2,,1,6,1,2021-05-19 06:00:00,2021-05-19,06:00:00,3
6649,2,,6,4,2,2021-05-19 06:00:00,2021-05-19,06:00:00,20
6650,3,11,,11,2,2021-05-19 06:00:00,2021-05-19,06:00:00,223
6651,3,11,,11,2,2021-05-19 06:00:00,2021-05-19,06:00:00,84
6652,2,,3,7,1,2021-05-19 06:00:00,2021-05-19,06:00:00,11
6653,3,3,,3,2,2021-05-19 06:00:00,2021-05-19,06:00:00,40
6654,2,,4,2,1,2021-05-19 06:00:00,2021-05-19,06:00:00,1
6655,2,,5,6,2,2021-05-19 07:00:00,2021-05-19,07:00:00,18
6656,1,8,1,,1,2021-05-19 07:00:00,2021-05-19,07:00:00,7
6657,2,,9,4,2,2021-05-19 07:00:00,2021-05-19,07:00:00,14
6658,2,,7,11,1,2021-05-19 07:00:00,2021-05-19,07:00:00,6
6659,1,11,1,,2,2021-05-19 07:00:00,2021-05-19,07:00:00,12
6660,1,6,1,,2,2021-05-19 07:00:00,2021-05-19,07:00:00,18
6661,3,11,,11,1,2021-05-19 07:00:00,2021-05-19,07:00:00,4
6662,4,,11,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,457
6663,3,3,,3,2,2021-05-19 07:00:00,2021-05-19,07:00:00,51
6664,1,2,1,,2,2021-05-19 07:00:00,2021-05-19,07:00:00,8
6665,2,,3,9,1,2021-05-19 07:00:00,2021-05-19,07:00:00,10
6666,1,11,1,,1,2021-05-19 07:00:00,2021-05-19,07:00:00,5
6667,3,11,,11,1,2021-05-19 08:00:00,2021-05-19,08:00:00,88
6668,3,2,,2,2,2021-05-19 07:00:00,2021-05-19,07:00:00,54
6669,1,9,1,,2,2021-05-19 07:00:00,2021-05-19,07:00:00,19
6670,3,2,,2,2,2021-05-19 07:00:00,2021-05-19,07:00:00,106
6671,3,6,,6,2,2021-05-19 07:00:00,2021-05-19,07:00:00,120
6672,2,,1,2,2,2021-05-19 07:00:00,2021-05-19,07:00:00,16
6673,3,1,,1,1,2021-05-19 07:00:00,2021-05-19,07:00:00,2
6674,2,,7,8,2,2021-05-19 07:00:00,2021-05-19,07:00:00,12
6675,1,9,1,,2,2021-05-19 07:00:00,2021-05-19,07:00:00,15
6676,3,8,,8,1,2021-05-19 08:00:00,2021-05-19,08:00:00,3
6677,1,8,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,15
6678,3,5,,5,2,2021-05-19 08:00:00,2021-05-19,08:00:00,142
6679,1,7,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,20
6680,3,7,,7,1,2021-05-19 09:00:00,2021-05-19,09:00:00,3
6681,2,,3,1,1,2021-05-19 08:00:00,2021-05-19,08:00:00,13
6682,1,4,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,1
6683,1,3,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,12
6684,1,11,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,5
6685,1,8,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,3
6686,1,11,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,1
6687,3,7,,7,2,2021-05-19 08:00:00,2021-05-19,08:00:00,121
6688,1,11,1,,1,2021-05-19 08:00:00,2021-05-19,08:00:00,9
6689,2,,7,10,1,2021-05-19 09:00:00,2021-05-19,09:00:00,1
6690,3,9,,9,2,2021-05-19 09:00:00,2021-05-19,09:00:00,43
6691,3,1,,1,1,2021-05-19 09:00:00,2021-05-19,09:00:00,8
6692,3,8,,8,2,2021-05-19 09:00:00,2021-05-19,09:00:00,17
6693,1,2,1,,1,2021-05-19 09:00:00,2021-05-19,09:00:00,2
6694,3,2,,2,1,2021-05-19 10:00:00,2021-05-19,10:00:00,2
6695,3,6,,6,2,2021-05-19 09:00:00,2021-05-19,09:00:00,90
6696,1,8,1,,1,2021-05-19 09:00:00,2021-05-19,09:00:00,4
6697,3,11,,11,1,2021-05-19 09:00:00,2021-05-19,09:00:00,118
6698,1,11,1,,1,2021-05-19 09:00:00,2021-05-19,09:00:00,19
6699,2,,5,2,1,2021-05-19 09:00:00,2021-05-19,09:00:00,2
6700,1,11,1,,1,2021-05-19 09:00:00,2021-05-19,09:00:00,11
6701,3,1,,1,1,2021-05-19 10:00:00,2021-05-19,10:00:00,9
6702,2,,6,9,1,2021-05-19 10:00:00,2021-05-19,10:00:00,1
6703,3,8,,8,2,2021-05-19 10:00:00,2021-05-19,10:00:00,8
6704,1,11,1,,1,2021-05-19 10:00:00,2021-05-19,10:00:00,4
6705,2,,10,6,1,2021-05-19 10:00:00,2021-05-19,10:00:00,2
6706,3,9,,9,2,2021-05-19 10:00:00,2021-05-19,10:00:00,54
6707,2,,9,5,1,2021-05-19 10:00:00,2021-05-19,10:00:00,14
6708,3,1,,1,1,2021-05-19 10:00:00,2021-05-19,10:00:00,1
6709,1,6,1,,1,2021-05-19 10:00:00,2021-05-19,10:00:00,1
6710,3,5,,5,2,2021-05-19 10:00:00,2021-05-19,10:00:00,204
6711,1,7,1,,1,2021-05-19 10:00:00,2021-05-19,10:00:00,12
6712,2,,4,8,2,2021-05-19 10:00:00,2021-05-19,10:00:00,17
6713,2,,6,4,2,2021-05-19 10:00:00,2021-05-19,10:00:00,16
6714,3,8,,8,2,2021-05-19 10:00:00,2021-05-19,10:00:00,19
6715,1,4,1,,2,2021-05-19 10:00:00,2021-05-19,10:00:00,8
6716,2,,5,11,1,2021-05-19 11:00:00,2021-05-19,11:00:00,10
6717,3,5,,5,2,2021-05-19 11:00:00,2021-05-19,11:00:00,124
6718,2,,6,5,1,2021-05-19 11:00:00,2021-05-19,11:00:00,1
6719,1,9,1,,1,2021-05-19 11:00:00,2021-05-19,11:00:00,10
6720,2,,8,11,1,2021-05-19 11:00:00,2021-05-19,11:00:00,8
6721,1,6,1,,2,2021-05-19 11:00:00,2021-05-19,11:00:00,18
6722,3,3,,3,2,2021-05-19 11:00:00,2021-05-19,11:00:00,78
6723,3,10,,10,2,2021-05-19 11:00:00,2021-05-19,11:00:00,87
6724,2,,9,3,1,2021-05-19 11:00:00,2021-05-19,11:00:00,17
6725,1,2,1,,2,2021-05-19 11:00:00,2021-05-19,11:00:00,11
6726,3,7,,7,2,2021-05-19 11:00:00,2021-05-19,11:00:00,74
6727,2,,11,6,2,2021-05-19 11:00:00,2021-05-19,11:00:00,20
6728,1,4,1,,2,2021-05-19 11:00:00,2021-05-19,11:00:00,19
6729,2,,4,8,2,2021-05-19 12:00:00,2021-05-19,12:00:00,15
6730,2,,3,7,1,2021-05-19 12:00:00,2021-05-19,12:00:00,1
6731,3,1,,1,1,2021-05-19 12:00:00,2021-05-19,12:00:00,1
6732,3,2,,2,2,2021-05-19 12:00:00,2021-05-19,12:00:00,34
6733,3,3,,3,2,2021-05-19 12:00:00,2021-05-19,12:00:00,88
6734,3,3,,3,2,2021-05-19 12:00:00,2021-05-19,12:00:00,54
6735,2,,1,6,2,2021-05-19 12:00:00,2021-05-19,12:00:00,11
6736,3,5,,5,2,2021-05-19 12:00:00,2021-05-19,12:00:00,91
6737,3,8,,8,2,2021-05-19 12:00:00,2021-05-19,12:00:00,25
6738,3,1,,1,1,2021-05-19 12:00:00,2021-05-19,12:00:00,1
6739,3,11,,11,1,2021-05-19 12:00:00,2021-05-19,12:00:00,4
6740,1,4,1,,2,2021-05-19 12:00:00,2021-05-19,12:00:00,14
6741,3,5,,5,2,2021-05-19 12:00:00,2021-05-19,12:00:00,189
6742,3,11,,11,1,2021-05-19 13:00:00,2021-05-19,13:00:00,70
6743,1,11,1,,1,2021-05-19 13:00:00,2021-05-19,13:00:00,17
6744,1,3,1,,1,2021-05-19 13:00:00,2021-05-19,13:00:00,14
6745,3,2,,2,2,2021-05-19 13:00:00,2021-05-19,13:00:00,74
6746,1,8,1,,1,2021-05-19 13:00:00,2021-05-19,13:00:00,18
6747,1,3,1,,1,2021-05-19 13:00:00,2021-05-19,13:00:00,18
6748,3,8,,8,1,2021-05-19 13:00:00,2021-05-19,13:00:00,2
6749,3,5,,5,2,2021-05-19 13:00:00,2021-05-19,13:00:00,26
6750,1,7,1,,2,2021-05-19 13:00:00,2021-05-19,13:00:00,12
6751,1,11,1,,1,2021-05-19 13:00:00,2021-05-19,13:00:00,19
6752,2,,10,3,1,2021-05-19 13:00:00,2021-05-19,13:00:00,15
6753,2,,3,4,1,2021-05-19 14:00:00,2021-05-19,14:00:00,3
6754,3,7,,7,2,2021-05-19 14:00:00,2021-05-19,14:00:00,48
6755,3,4,,4,2,2021-05-19 14:00:00,2021-05-19,14:00:00,108
6756,1,6,1,,2,2021-05-19 14:00:00,2021-05-19,14:00:00,17
6757,3,5,,5,2,2021-05-19 14:00:00,2021-05-19,14:00:00,201
6758,1,10,1,,1,2021-05-19 14:00:00,2021-05-19,14:00:00,1
6759,3,5,,5,2,2021-05-19 14:00:00,2021-05-19,14:00:00,204
6760,3,10,,10,2,2021-05-19 14:00:00,2021-05-19,14:00:00,99
6761,2,,10,8,1,2021-05-19 14:00:00,2021-05-19,14:00:00,8
6762,4,,8,,1,2021-05-19 15:00:00,2021-05-19,15:00:00,286
6763,3,8,,8,1,2021-05-19 14:00:00,2021-05-19,14:00:00,43
6764,1,2,1,,2,2021-05-19 15:00:00,2021-05-19,15:00:00,7
6765,1,4,1,,1,2021-05-19 15:00:00,2021-05-19,15:00:00,2
6766,3,4,,4,1,2021-05-19 16:00:00,2021-05-19,16:00:00,2
6767,4,,4,,1,2021-05-19 17:00:00,2021-05-19,17:00:00,451
6768,2,,11,1,1,2021-05-19 15:00:00,2021-05-19,15:00:00,7
6769,2,,3,11,1,2021-05-19 15:00:00,2021-05-19,15:00:00,19
6770,3,6,,6,2,2021-05-19 15:00:00,2021-05-19,15:00:00,72
6771,3,4,,4,1,2021-05-19 15:00:00,2021-05-19,15:00:00,87
6772,3,5,,5,2,2021-05-19 15:00:00,2021-05-19,15:00:00,152
6773,3,8,,8,1,2021-05-19 15:00:00,2021-05-19,15:00:00,1
6774,3,3,,3,2,2021-05-19 15:00:00,2021-05-19,15:00:00,106
6775,1,2,1,,2,2021-05-19 15:00:00,2021-05-19,15:00:00,15
6776,1,6,1,,1,2021-05-19 15:00:00,2021-05-19,15:00:00,2
6777,1,6,1,,2,2021-05-19 15:00:00,2021-05-19,15:00:00,13
6778,3,5,,5,2,2021-05-19 15:00:00,2021-05-19,15:00:00,194
6779,2,,6,2,2,2021-05-19 15:00:00,2021-05-19,15:00:00,13
6780,1,6,1,,2,2021-05-19 15:00:00,2021-05-19,15:00:00,8
6781,2,,9,11,1,2021-05-19 15:00:00,2021-05-19,15:00:00,14
6782,3,5,,5,2,2021-05-19 16:00:00,2021-05-19,16:00:00,161
6783,2,,6,1,1,2021-05-19 16:00:00,2021-05-19,16:00:00,5
6784,1,5,1,,2,2021-05-19 16:00:00,2021-05-19,16:00:00,18
6785,2,,1,8,1,2021-05-19 16:00:00,2021-05-19,16:00:00,9
6786,3,10,,10,2,2021-05-19 16:00:00,2021-05-19,16:00:00,92
6787,2,,4,7,1,2021-05-19 16:00:00,2021-05-19,16:00:00,5
6788,2,,6,1,1,2021-05-19 16:00:00,2021-05-19,16:00:00,3
6789,1,7,1,,1,2021-05-19 16:00:00,2021-05-19,16:00:00,6
6790,3,7,,7,2,2021-05-19 16:00:00,2021-05-19,16:00:00,23
6791,1,2,1,,1,2021-05-19 16:00:00,2021-05-19,16:00:00,2
6792,2,,2,3,1,2021-05-19 16:00:00,2021-05-19,16:00:00,15
6793,2,,11,1,1,2021-05-19 16:00:00,2021-05-19,16:00:00,17
6794,3,4,,4,1,2021-05-19 16:00:00,2021-05-19,16:00:00,15
6795,3,8,,8,1,2021-05-19 16:00:00,2021-05-19,16:00:00,1
6796,2,,8,5,1,2021-05-19 16:00:00,2021-05-19,16:00:00,19
6797,4,,5,,1,2021-05-19 17:00:00,2021-05-19,17:00:00,188
6798,3,3,,3,2,2021-05-19 16:00:00,2021-05-19,16:00:00,98
6799,3,6,,6,2,2021-05-19 16:00:00,2021-05-19,16:00:00,40
6800,2,,11,7,2,2021-05-19 16:00:00,2021-05-19,16:00:00,17
6801,3,10,,10,1,2021-05-19 16:00:00,2021-05-19,16:00:00,17
6802,1,6,1,,2,2021-05-19 16:00:00,2021-05-19,16:00:00,6
6803,3,3,,3,2,2021-05-19 17:00:00,2021-05-19,17:00:00,47
6804,1,5,1,,1,2021-05-19 17:00:00,2021-05-19,17:00:00,3
6805,2,,5,1,1,2021-05-19 17:00:00,2021-05-19,17:00:00,19
6806,1,1,1,,1,2021-05-19 17:00:00,2021-05-19,17:00:00,12
6807,3,7,,7,2,2021-05-19 17:00:00,2021-05-19,17:00:00,220
6808,2,,9,3,1,2021-05-19 17:00:00,2021-05-19,17:00:00,14
6809,3,1,,1,1,2021-05-19 17:00:00,2021-05-19,17:00:00,6
6810,2,,7,10,1,2021-05-19 17:00:00,2021-05-19,17:00:00,6
6811,3,7,,7,2,2021-05-19 17:00:00,2021-05-19,17:00:00,229
6812,1,2,1,,2,2021-05-19 17:00:00,2021-05-19,17:00:00,8
6813,2,,4,5,1,2021-05-19 17:00:00,2021-05-19,17:00:00,20
6814,1,4,1,,1,2021-05-19 17:00:00,2021-05-19,17:00:00,6
6815,3,5,,5,1,2021-05-19 17:00:00,2021-05-19,17:00:00,77
6816,3,5,,5,1,2021-05-19 17:00:00,2021-05-19,17:00:00,35
6817,3,3,,3,2,2021-05-19 17:00:00,2021-05-19,17:00:00,59
6818,3,9,,9,1,2021-05-19 17:00:00,2021-05-19,17:00:00,24
6819,3,9,,9,2,2021-05-19 17:00:00,2021-05-19,17:00:00,72
6820,1,6,1,,2,2021-05-19 17:00:00,2021-05-19,17:00:00,12
6821,1,4,1,,1,2021-05-19 17:00:00,2021-05-19,17:00:00,15
6822,2,,11,10,1,2021-05-19 18:00:00,2021-05-19,18:00:00,18
6823,3,5,,5,1,2021-05-19 18:00:00,2021-05-19,18:00:00,64
6824,1,7,1,,1,2021-05-19 18:00:00,2021-05-19,18:00:00,2
6825,3,8,,8,1,2021-05-19 18:00:00,2021-05-19,18:00:00,0
6826,2,,7,11,1,2021-05-19 18:00:00,2021-05-19,18:00:00,15
6827,3,11,,11,1,2021-05-19 18:00:00,2021-05-19,18:00:00,43
6828,2,,4,7,1,2021-05-19 18:00:00,2021-05-19,18:00:00,14
6829,2,,8,6,1,2021-05-19 18:00:00,2021-05-19,18:00:00,7
6830,2,,10,7,1,2021-05-19 18:00:00,2021-05-19,18:00:00,10
6831,1,5,1,,1,2021-05-19 18:00:00,2021-05-19,18:00:00,11
6832,2,,6,2,1,2021-05-19 18:00:00,2021-05-19,18:00:00,18
6833,2,,9,11,1,2021-05-19 18:00:00,2021-05-19,18:00:00,13
6834,2,,7,10,1,2021-05-19 18:00:00,2021-05-19,18:00:00,12
6835,2,,5,3,2,2021-05-19 18:00:00,2021-05-19,18:00:00,14
6836,2,,2,9,1,2021-05-19 19:00:00,2021-05-19,19:00:00,8
6837,2,,5,8,1,2021-05-19 19:00:00,2021-05-19,19:00:00,13
6838,3,10,,10,2,2021-05-19 19:00:00,2021-05-19,19:00:00,103
6839,1,6,1,,2,2021-05-19 19:00:00,2021-05-19,19:00:00,3
6840,1,8,1,,1,2021-05-19 19:00:00,2021-05-19,19:00:00,10
6841,3,7,,7,2,2021-05-19 19:00:00,2021-05-19,19:00:00,249
6842,2,,5,2,2,2021-05-19 19:00:00,2021-05-19,19:00:00,19
6843,3,10,,10,2,2021-05-19 19:00:00,2021-05-19,19:00:00,120
6844,1,1,1,,1,2021-05-19 19:00:00,2021-05-19,19:00:00,11
6845,3,9,,9,2,2021-05-19 19:00:00,2021-05-19,19:00:00,115
6846,2,,7,4,1,2021-05-19 19:00:00,2021-05-19,19:00:00,19
6847,2,,3,5,1,2021-05-19 19:00:00,2021-05-19,19:00:00,3
6848,2,,4,7,1,2021-05-19 19:00:00,2021-05-19,19:00:00,15
6849,2,,5,6,1,2021-05-19 19:00:00,2021-05-19,19:00:00,4
6850,3,6,,6,2,2021-05-19 19:00:00,2021-05-19,19:00:00,55
6851,3,7,,7,2,2021-05-19 19:00:00,2021-05-19,19:00:00,185
6852,2,,11,5,1,2021-05-19 19:00:00,2021-05-19,19:00:00,6
6853,2,,10,7,1,2021-05-19 19:00:00,2021-05-19,19:00:00,3
6854,1,3,1,,1,2021-05-19 19:00:00,2021-05-19,19:00:00,4
6855,2,,4,7,1,2021-05-19 20:00:00,2021-05-19,20:00:00,12
6856,1,6,1,,2,2021-05-19 20:00:00,2021-05-19,20:00:00,19
6857,2,,2,11,1,2021-05-19 20:00:00,2021-05-19,20:00:00,12
6858,3,4,,4,1,2021-05-19 20:00:00,2021-05-19,20:00:00,19
6859,1,4,1,,1,2021-05-19 20:00:00,2021-05-19,20:00:00,19
6860,2,,4,7,2,2021-05-19 20:00:00,2021-05-19,20:00:00,19
6861,2,,1,2,1,2021-05-19 20:00:00,2021-05-19,20:00:00,12
6862,3,6,,6,1,2021-05-19 20:00:00,2021-05-19,20:00:00,20
